order_id,product_name,description,category,price $,order_status,user_id
111,Nike Air Max,High-performance running shoes,Shoes,120.99,exchanged,aaa
ed5fa7fb,Adidas Ultraboost,Comfortable and stylish sneakers,Shoes,150.0,exchanged,bbb
8ce95a01,Puma RS-X,Retro-styled sneakers for casual wear,Shoes,110.5,pending,ccc
222,The North Face Jacket,Waterproof and windproof jacket,Jackets,199.99,delivered,aaa
d7ebefef,Columbia Sportswear Jacket,Insulated jacket for winter,Jackets,180.75,shipped,bbb
7eedb65e,Levi's Denim Jacket,Classic denim jacket with a modern touch,Jackets,89.99,pending,aaa
db131f0a,Timberland Boots,Durable boots for outdoor activities,Footwear,160.0,exchanged,ccc
22dc7727,Dr. Martens 1460,Iconic leather boots,Footwear,150.0,shipped,ddd
a4fb9cfc,Vans Old Skool,Casual skateboarding sneakers,Shoes,75.0,exchanged,bbb
ae28152c,Converse Chuck Taylor,Classic canvas sneakers,Shoes,65.0,delivered,aaa
ae23956f,Patagonia Fleece Jacket,Warm and sustainable fleece,Jackets,130.0,delivered,bbb
00288886,Under Armour Hoodie,Comfortable and breathable hoodie,Apparel,60.0,pending,ddd
decaee3a,Nike Dri-Fit T-Shirt,Moisture-wicking sports t-shirt,Apparel,35.0,pending,aaa
f2a632f3,Adidas Track Pants,Athletic track pants with a sleek design,Apparel,55.0,pending,ccc
75c20913,New Balance 574,Casual and sporty sneakers,Shoes,90.0,delivered,ccc
90234933,Reebok Classic Leather,Timeless and comfortable sneakers,Shoes,85.0,shipped,ddd
32d18f01,Arc'teryx Beta AR Jacket,Premium waterproof shell jacket,Jackets,350.0,delivered,bbb
374e3531,Champion Sweatpants,Relaxed fit sweatpants for everyday wear,Apparel,40.0,delivered,bbb
3e57d28f,Herschel Backpack,Stylish and functional backpack,Accessories,75.0,shipped,ccc
333,Ray-Ban Aviator Sunglasses,Classic aviator sunglasses,Accessories,150.0,pending,aaa
